timestamp,best_bid,best_ask,mid,spread,inventory,cash,mtm_equity
2026-06-08 04:50:00+00:00,0.21,0.27,0.24,0.060000000000000026,0.0,0.0,0.0
2026-06-08 04:55:00+00:00,0.23,0.29,0.26,0.05999999999999997,0.0,0.0,0.0
2026-06-08 05:00:00+00:00,0.23,0.27,0.25,0.04000000000000001,0.0,0.0,0.0
2026-06-08 05:05:00+00:00,0.23,0.27,0.25,0.04000000000000001,-5.0,1.35,0.10000000000000009
2026-06-08 05:10:00+00:00,0.23,0.27,0.25,0.04000000000000001,-5.0,1.35,0.10000000000000009
2026-06-08 05:15:00+00:00,0.23,0.27,0.25,0.04000000000000001,-5.0,1.35,0.10000000000000009
2026-06-08 05:20:00+00:00,0.23,0.27,0.25,0.04000000000000001,-5.0,1.35,0.10000000000000009
2026-06-08 05:25:00+00:00,0.24,0.27,0.255,0.030000000000000027,-5.0,1.35,0.07500000000000018
2026-06-08 05:30:00+00:00,0.24,0.27,0.255,0.030000000000000027,-5.0,1.35,0.07500000000000018
2026-06-08 05:35:00+00:00,0.24,0.27,0.255,0.030000000000000027,-5.0,1.35,0.07500000000000018
2026-06-08 05:40:00+00:00,0.26,0.27,0.265,0.010000000000000009,-5.0,1.35,0.02499999999999991
2026-06-08 05:45:00+00:00,0.26,0.27,0.265,0.010000000000000009,-5.0,1.35,0.02499999999999991
2026-06-08 05:50:00+00:00,0.26,0.27,0.265,0.010000000000000009,-5.0,1.35,0.02499999999999991
2026-06-08 05:55:00+00:00,0.29,0.34,0.315,0.050000000000000044,-5.0,1.35,-0.22499999999999987
2026-06-08 06:00:00+00:00,0.32,0.34,0.33,0.020000000000000018,-5.0,1.35,-0.30000000000000004
2026-06-08 06:05:00+00:00,0.34,0.34,0.34,0.0,-5.0,1.35,-0.3500000000000001
2026-06-08 06:10:00+00:00,0.33,0.37,0.35,0.03999999999999998,-5.0,1.35,-0.3999999999999999
2026-06-08 06:15:00+00:00,0.33,0.35,0.33999999999999997,0.019999999999999962,-5.0,1.35,-0.34999999999999964
2026-06-08 06:20:00+00:00,0.33,0.36,0.345,0.02999999999999997,-5.0,1.35,-0.3749999999999998
2026-06-08 06:25:00+00:00,0.33,0.36,0.345,0.02999999999999997,-5.0,1.35,-0.3749999999999998
2026-06-08 06:30:00+00:00,0.33,0.34,0.335,0.010000000000000009,-5.0,1.35,-0.32499999999999996
